blk,ccache,tcache,smp,intra,ccp,simd,mshr,dramq,inter,runtime
1,8,8,1,4,1,16,3,32,2,32149
1,8,8,1,4,4,32,3,16,6,33549
1,8,8,2,1,2,64,1,64,6,36404
1,8,8,2,8,8,64,3,64,10,34409
1,8,8,4,4,2,64,2,64,2,33395
1,8,8,8,2,2,32,1,32,10,32309
1,8,8,8,4,4,16,2,32,6,32149
1,8,16,1,1,1,32,1,16,6,34359
1,8,16,2,2,2,64,3,64,10,35143
1,8,16,4,1,2,32,3,64,6,32821
1,8,16,4,1,4,64,2,16,6,35207
1,8,16,8,4,4,32,1,32,6,32350
1,8,32,1,4,1,16,1,16,2,32292
1,8,32,2,1,4,64,1,16,10,36475
1,8,32,2,2,8,64,2,64,10,35143
1,8,32,8,1,8,64,3,32,2,35102
1,8,32,8,4,2,64,3,16,10,33534
1,8,32,8,8,1,16,1,64,6,32044
1,8,64,1,8,1,32,2,64,2,33484
1,8,64,4,1,2,32,3,16,2,32860
1,8,128,1,8,1,16,2,64,2,31993
1,8,256,8,1,4,64,3,32,6,35102
1,16,8,2,4,4,32,3,16,6,32215
1,16,8,4,2,1,16,2,32,10,32061
1,16,8,8,1,2,64,1,64,2,35026
1,16,16,1,1,8,32,1,32,6,34269
1,16,16,1,2,1,16,3,16,2,32296
1,16,16,2,4,8,64,3,64,6,34658
1,16,16,4,2,8,16,2,32,10,32149
1,16,32,2,1,8,64,1,32,10,36290
1,16,32,4,8,1,32,1,32,2,32335
1,16,32,4,8,1,64,2,64,6,33292
1,16,32,4,8,4,16,2,64,2,31993
1,16,64,2,1,1,64,1,32,6,36333
1,16,128,1,1,2,16,1,64,2,32326
1,16,128,1,1,2,64,2,32,6,39044
1,16,128,1,2,1,16,3,32,10,32061
1,16,128,1,4,4,32,1,64,2,33484
1,16,128,4,2,2,16,1,32,10,32061
1,16,128,4,4,8,16,2,16,6,32296
1,16,128,8,4,8,64,1,32,2,33462
1,16,256,1,1,1,64,3,32,6,39044
1,16,256,2,2,1,64,3,16,10,35312
1,16,256,8,1,4,64,2,64,6,35026
1,16,256,8,2,2,32,3,64,2,32432
1,32,8,4,8,4,32,1,32,6,32335
1,32,8,8,8,2,64,2,16,2,33304
1,32,16,1,1,8,16,3,16,10,32493
1,32,16,4,1,1,16,3,64,2,32326
1,32,16,4,1,8,16,3,16,2,32480
1,32,16,4,8,1,32,1,32,10,32350
1,32,16,4,8,2,64,1,16,10,33304
1,32,32,1,2,4,64,3,64,10,38023
1,32,32,2,1,4,16,1,32,10,32301
1,32,32,8,2,1,32,2,32,2,32309
1,32,32,8,2,8,64,3,32,10,34089
1,32,64,2,8,2,16,3,32,2,32061
1,32,64,4,4,2,16,3,16,6,32292
1,32,64,8,1,2,64,1,16,10,35176
1,32,64,8,2,1,64,1,32,6,34089
1,32,128,1,4,8,32,1,32,6,33316
1,32,128,8,1,8,64,3,32,6,35037
1,64,8,2,4,1,32,3,16,6,32121
1,64,8,4,8,2,16,2,32,10,32061
1,64,8,8,2,8,16,1,32,6,32061
1,64,16,2,8,2,16,3,64,10,32044
1,64,32,2,2,8,32,3,64,2,32432
1,64,32,4,8,2,32,2,64,6,31908
1,64,64,2,1,1,16,2,32,2,32310
1,64,64,4,1,1,32,1,16,2,32860
1,64,64,4,4,8,16,3,16,6,32296
1,64,128,4,8,1,64,3,32,10,33241
1,64,256,2,2,4,16,1,64,2,31993
1,64,256,2,4,2,32,3,16,6,32121
1,64,256,4,1,2,64,1,64,2,35026
1,64,256,4,2,1,32,2,64,10,32366
1,64,256,8,2,1,16,1,64,2,32044
1,128,8,4,4,4,16,2,32,10,32061
1,128,8,8,2,8,32,3,64,6,32366
1,128,16,2,8,8,16,1,16,6,32292
1,128,16,8,1,2,64,2,32,10,35037
1,128,16,8,8,2,64,1,32,2,33241
1,128,64,1,2,1,16,2,16,6,32296
1,128,64,2,1,2,32,3,64,10,32964
1,128,64,2,2,1,16,2,32,2,32149
1,128,64,4,2,2,64,2,64,10,33888
1,128,128,2,1,2,64,1,16,2,36475
1,128,256,1,2,4,32,2,32,10,33545
1,128,256,8,8,2,64,1,64,6,33292
1,256,8,2,1,2,64,1,32,2,36290
1,256,8,2,8,2,16,3,16,6,32292
1,256,8,8,1,1,32,1,32,2,32837
1,256,16,1,1,2,32,1,32,10,34329
1,256,16,8,1,8,64,2,64,10,35026
1,256,16,8,8,1,16,2,64,6,31993
1,256,32,2,1,4,64,1,32,6,36290
1,256,32,2,4,1,64,1,32,6,34638
1,256,32,4,1,2,16,2,32,2,32310
1,256,32,8,8,4,32,2,16,10,32215
1,256,64,1,2,4,64,2,16,2,38030
1,256,64,1,4,8,32,2,32,2,33386
1,256,64,2,1,1,64,3,64,10,36380
1,256,64,2,4,8,32,3,32,2,32350
1,256,64,4,1,1,32,2,32,2,32763
1,256,64,4,1,2,16,1,32,2,32301
1,256,128,1,2,4,64,3,16,10,37988
1,256,128,1,4,4,32,1,16,10,33513
1,256,128,4,1,1,16,1,64,6,32326
1,256,128,4,2,2,16,1,64,2,31993
1,256,128,4,4,8,16,2,16,2,32292
1,256,128,8,2,1,16,2,32,2,32061
1,256,128,8,2,1,64,3,16,10,34281
1,256,128,8,4,2,16,1,64,10,31993
1,256,256,2,2,8,16,1,64,2,32044
1,256,256,2,8,8,64,2,64,6,34408
1,256,256,4,4,4,32,2,32,6,32350
1,256,256,4,8,1,16,1,16,6,32296
2,8,8,4,1,4,16,3,64,10,28731
2,8,8,8,8,2,64,2,16,2,22879
2,8,16,4,8,1,64,1,64,6,23003
2,8,16,8,1,2,16,2,16,6,26823
2,8,32,1,1,1,64,1,32,6,25718
2,8,32,8,2,2,16,1,16,10,28098
2,8,64,2,8,2,16,1,16,6,28098
2,8,64,2,8,8,16,3,16,2,28328
2,8,64,8,4,1,64,3,64,10,23249
2,8,64,8,4,2,16,2,16,2,28328
2,8,128,2,1,8,32,2,16,10,23020
2,8,256,4,4,8,32,3,32,10,22477
2,16,8,1,1,2,32,3,64,6,24076
2,16,8,4,2,4,32,1,32,6,22586
2,16,8,4,8,2,64,2,32,6,22729
2,16,16,8,2,4,16,3,64,6,26315
2,16,16,8,4,8,64,1,16,2,23021
2,16,32,8,8,4,64,2,16,10,22653
2,16,64,2,4,2,16,2,64,6,26315
2,16,64,8,8,2,32,1,32,6,22493
2,16,128,1,8,4,64,3,64,6,25030
2,16,128,8,2,2,16,1,64,2,26315
2,16,256,8,2,4,16,2,64,10,26315
2,32,8,1,8,1,64,2,16,2,24789
2,32,8,8,8,2,64,3,64,2,22751
2,32,16,8,8,2,32,1,16,6,23025
2,32,32,2,2,8,16,2,32,6,26209
2,32,32,8,4,4,32,2,16,6,23025
2,32,64,2,2,1,32,3,64,2,22775
2,32,64,4,4,2,64,3,16,2,23021
2,32,128,1,8,1,16,3,16,2,28098
2,32,128,2,4,2,64,3,64,10,23597
2,32,128,4,8,2,64,2,32,2,22671
2,32,256,4,1,8,32,3,32,10,22732
2,32,256,4,4,2,16,3,16,2,28098
2,32,256,8,1,4,64,1,16,6,23805
2,32,256,8,1,8,64,3,64,10,23587
2,32,256,8,2,2,16,1,32,2,26409
2,32,256,8,4,8,32,2,64,2,22666
2,64,8,1,4,2,64,1,64,6,24658
2,64,8,2,1,1,32,3,16,10,23081
2,64,8,2,1,8,16,1,64,2,28731
2,64,8,4,1,2,64,3,16,6,23982
2,64,8,4,4,4,32,1,32,2,22477
2,64,8,8,8,8,64,2,16,2,22653
2,64,16,1,1,8,16,2,32,10,28636
2,64,16,2,8,2,32,1,64,10,22666
2,64,16,4,4,8,32,2,32,2,22477
2,64,16,4,8,1,16,1,32,10,26409
2,64,16,8,4,8,64,1,64,6,22902
2,64,32,1,4,4,16,1,16,6,28328
2,64,32,2,4,4,32,3,32,2,22493
2,64,32,8,1,4,32,2,64,10,23155
2,64,64,1,8,8,32,1,16,2,23903
2,64,64,4,2,4,64,1,16,6,23148
2,64,64,4,2,8,64,3,16,10,23506
2,64,64,8,4,8,64,3,32,10,23098
2,64,128,1,2,2,32,1,16,2,23743
2,64,128,4,1,4,16,3,32,2,26742
2,64,128,8,2,4,32,3,32,6,22586
2,64,256,4,2,4,64,3,16,2,23148
2,128,8,1,8,8,32,3,32,6,23687
2,128,8,2,2,1,16,1,32,2,26409
2,128,8,2,4,8,32,1,64,2,22666
2,128,16,1,8,1,16,3,32,10,26209
2,128,16,2,8,1,16,3,32,2,26209
2,128,16,2,8,4,16,3,32,6,26409
2,128,16,4,2,8,64,2,32,2,23363
2,128,32,1,8,1,64,1,32,10,24796
2,128,128,1,8,1,64,2,32,2,24935
2,128,128,2,1,1,64,2,16,10,24549
2,128,128,8,4,1,32,2,32,6,22493
2,128,256,1,1,1,16,1,64,2,28731
2,128,256,1,4,1,64,1,16,2,24811
2,128,256,1,4,4,16,1,32,10,26209
2,128,256,4,4,8,64,1,32,2,23098
2,128,256,8,4,2,32,1,64,6,22666
2,256,8,1,1,8,32,3,64,10,23992
2,256,8,2,8,1,32,1,32,10,22493
2,256,16,1,2,8,64,1,32,10,25314
2,256,16,2,2,1,16,1,64,2,26315
2,256,16,4,1,2,16,1,32,6,26742
2,256,16,8,1,8,16,2,64,10,28731
2,256,32,2,1,8,16,3,16,10,26863
2,256,32,8,4,2,16,3,32,6,26209
2,256,64,1,1,2,32,1,64,10,23992
2,256,64,2,4,1,16,3,64,6,26315
2,256,64,4,4,8,64,3,16,6,22817
2,256,128,1,2,8,64,2,32,2,25128
2,256,128,1,8,1,32,3,16,10,23675
2,256,128,2,1,1,32,3,32,2,22732
2,256,128,2,2,8,32,2,32,2,22686
2,256,128,4,2,2,16,1,64,6,26315
2,256,128,4,4,2,16,1,16,6,28328
2,256,128,4,8,8,16,1,64,2,26315
2,256,256,2,2,8,64,1,64,10,23904
2,256,256,8,2,4,64,3,32,2,23363
4,8,8,2,1,2,16,3,64,10,28936
4,8,16,1,4,4,64,3,16,10,21530
4,8,32,1,4,2,64,2,32,10,20873
4,8,32,1,8,2,32,3,16,10,22005
4,8,32,1,8,4,64,2,64,2,18885
4,8,32,2,4,1,64,1,32,6,20253
4,8,32,2,4,8,64,2,32,2,20165
4,8,32,8,1,2,32,3,16,10,21414
4,8,64,1,4,2,32,1,32,6,21235
4,8,64,2,1,2,32,1,64,2,18975
4,8,64,4,8,1,32,3,32,6,20372
4,8,128,4,4,2,16,2,32,2,25996
4,8,128,8,4,1,32,2,32,2,20458
4,8,128,8,8,2,16,1,32,2,25996
4,8,256,2,4,1,16,1,16,2,28060
4,8,256,8,2,1,16,3,64,10,27856
4,16,8,8,8,2,64,3,32,6,20144
4,16,16,1,2,4,16,1,64,10,27856
4,16,16,4,8,1,32,1,64,2,18805
4,16,16,8,8,8,32,1,16,10,20916
4,16,32,1,1,1,16,1,32,10,28958
4,16,32,4,8,1,32,3,32,10,20372
4,16,32,8,2,1,32,2,64,2,18957
4,16,64,2,4,8,16,2,16,6,28060
4,16,64,8,4,2,16,3,64,2,27856
4,16,128,2,4,2,32,2,64,6,18812
4,16,128,4,2,4,64,3,32,10,19988
4,16,256,8,8,2,32,1,64,2,18805
4,32,8,2,1,4,64,2,64,10,19371
4,32,8,2,2,1,16,1,64,2,27856
4,32,16,1,4,8,32,3,64,6,20043
4,32,16,4,1,1,32,2,16,10,21414
4,32,16,4,1,8,64,3,32,6,20107
4,32,16,4,8,1,64,1,16,6,20550
4,32,32,1,8,2,16,2,64,2,27783
4,32,32,2,4,4,32,2,32,2,20458
4,32,32,8,8,2,32,2,32,6,20372
4,32,64,1,8,2,16,3,16,2,27889
4,32,64,1,8,2,32,3,32,10,21177
4,32,64,2,2,4,64,1,64,10,18619
4,32,64,8,2,8,64,1,16,2,21313
4,32,128,1,2,4,32,2,32,6,21318
4,32,128,1,8,8,64,1,32,6,20627
4,32,128,2,1,2,32,1,64,10,18707
4,32,128,8,1,2,64,1,16,2,21442
4,32,128,8,1,8,16,2,16,2,26970
4,32,128,8,4,8,64,3,64,6,18238
4,32,256,1,4,4,32,2,64,2,20043
4,32,256,1,4,8,32,3,16,6,22005
4,32,256,2,2,4,64,1,16,10,20969
4,32,256,8,2,1,32,2,64,2,18957
4,32,256,8,4,8,16,3,32,6,27846
4,64,8,1,4,4,64,1,32,10,20619
4,64,8,1,8,4,64,2,64,10,19204
4,64,8,8,8,1,16,1,64,10,27856
4,64,16,1,8,1,32,3,64,10,20043
4,64,16,2,8,8,32,2,16,6,20753
4,64,32,1,8,4,16,2,16,10,27889
4,64,32,4,1,1,32,2,32,2,20306
4,64,32,4,4,8,16,2,64,10,27783
4,64,32,8,1,4,32,2,64,10,18975
4,64,64,4,2,1,32,1,16,2,20882
4,64,64,4,4,2,32,2,32,10,20372
4,64,64,8,1,1,16,1,64,6,28976
4,64,128,1,4,2,16,3,16,6,28060
4,64,128,2,8,1,16,1,32,6,27846
4,64,128,2,8,1,64,1,64,2,18220
4,64,128,8,1,1,32,1,64,6,18975
4,64,256,1,1,4,16,2,32,10,28675
4,64,256,1,8,1,16,1,32,10,27846
4,64,256,1,8,1,64,1,16,10,21443
4,64,256,2,2,2,16,3,64,2,27783
4,128,8,2,1,1,32,2,32,6,20574
4,128,8,4,1,4,64,3,64,6,18294
4,128,8,4,2,1,16,2,64,2,27856
4,128,16,4,4,1,32,1,64,6,18812
4,128,32,8,8,4,64,3,64,10,17793
4,128,64,4,2,2,64,1,64,6,17942
4,128,128,1,4,1,16,1,64,6,27856
4,128,128,4,8,4,16,1,64,10,27783
4,128,256,2,1,1,32,2,16,10,21069
4,128,256,8,1,2,64,2,16,6,21442
4,128,256,8,1,8,64,3,32,10,20107
4,128,256,8,8,4,32,2,64,6,18812
4,256,8,1,4,2,64,2,32,2,20619
4,256,8,1,8,1,32,3,64,2,20159
4,256,8,4,4,8,32,3,64,10,18805
4,256,16,1,8,8,32,1,32,6,21235
4,256,32,1,1,1,32,2,64,2,21103
4,256,32,2,1,1,64,3,16,2,21387
4,256,32,4,8,4,16,1,16,10,27889
4,256,32,8,4,4,64,1,16,10,20662
4,256,64,8,8,8,32,1,16,10,20753
4,256,128,1,2,4,16,1,32,10,25996
4,256,128,8,2,2,64,2,16,2,21313
4,256,128,8,2,8,16,1,16,10,28060
4,256,256,4,2,4,32,1,64,6,18957
4,256,256,8,2,1,32,2,64,2,18957
8,8,8,1,1,4,64,2,32,2,23925
8,8,8,1,2,4,32,1,64,6,23568
8,8,8,2,8,8,32,1,32,2,22637
8,8,8,4,2,8,32,3,16,10,23263
8,8,8,4,4,8,16,2,64,6,28113
8,8,16,4,2,8,16,3,16,10,28175
8,8,16,4,8,4,16,1,16,6,28175
8,8,32,2,8,8,16,1,32,2,28201
8,8,32,4,8,4,64,3,32,10,22305
8,8,32,8,2,4,16,3,32,6,28201
8,8,64,8,2,8,32,2,64,6,22587
8,8,128,1,4,2,64,2,64,6,22522
8,8,128,2,2,2,16,1,64,6,28113
8,8,128,4,1,2,16,2,64,10,31905
8,8,128,4,1,4,64,2,32,10,22746
8,8,256,2,8,1,32,3,32,6,22637
8,16,8,1,4,2,32,1,32,6,23096
8,16,8,2,2,2,32,1,32,6,22776
8,16,8,2,8,8,16,3,32,6,28201
8,16,16,1,1,2,32,3,32,6,23125
8,16,16,8,1,8,16,1,16,6,29252
8,16,16,8,4,8,16,2,32,2,28203
8,16,32,1,8,8,16,3,16,6,28175
8,16,32,8,1,4,16,2,32,2,29328
8,16,32,8,4,8,32,1,64,2,22361
8,16,64,1,1,8,32,3,32,10,23125
8,16,64,1,2,2,16,1,64,6,28113
8,16,64,1,2,8,16,2,32,10,28201
8,16,64,4,4,1,32,2,16,2,23596
8,16,64,8,1,8,16,2,64,2,31890
8,16,128,1,8,2,16,2,64,10,28113
8,16,128,4,1,8,16,2,32,2,29299
8,16,128,8,4,4,16,3,16,10,28175
8,16,256,2,4,1,64,3,32,10,22579
8,16,256,8,8,1,64,2,32,2,22305
8,32,8,1,1,8,16,1,32,6,29328
8,32,8,1,4,1,32,2,16,10,24611
8,32,8,8,1,4,64,2,32,2,22872
8,32,8,8,8,8,32,1,16,2,23609
8,32,16,2,4,1,64,1,64,2,22150
8,32,32,1,4,1,64,2,64,6,22522
8,32,32,2,1,1,16,2,64,6,31890
8,32,32,2,2,2,64,3,16,6,23054
8,32,32,4,8,4,16,2,32,10,28201
8,32,32,8,1,8,16,2,16,10,29259
8,32,64,2,1,2,64,2,64,2,21971
8,32,64,2,4,4,16,3,16,10,28175
8,32,64,8,4,1,16,2,32,2,28203
8,32,128,2,1,4,16,2,64,6,31905
8,32,128,2,1,8,64,2,16,6,23488
8,32,128,4,1,2,32,1,32,10,25196
8,32,256,1,1,2,32,3,32,10,23125
8,32,256,1,1,8,32,1,64,10,24197
8,32,256,2,4,4,32,2,16,6,23596
8,32,256,8,4,4,16,1,16,6,28175
8,64,8,1,1,2,16,2,32,2,29328
8,64,8,1,1,2,64,2,64,2,22313
8,64,8,8,1,8,16,1,32,10,29299
8,64,8,8,8,1,16,3,16,10,28176
8,64,16,4,2,4,64,3,16,6,23186
8,64,32,2,4,1,32,2,32,6,22637
8,64,32,4,2,8,64,2,64,2,21658
8,64,64,2,1,1,64,1,32,6,23063
8,64,64,2,8,2,32,1,64,2,22279
8,64,64,4,1,4,16,2,32,10,29299
8,64,128,1,1,4,64,3,16,10,24359
8,64,128,4,1,1,64,3,32,2,22872
8,64,128,4,2,4,16,1,16,6,28175
8,64,128,8,2,4,64,3,64,10,21429
8,64,256,1,2,4,32,1,64,6,23510
8,128,8,2,1,1,64,1,64,6,22105
8,128,8,8,1,2,32,2,32,10,25196
8,128,16,1,2,4,32,1,16,2,23517
8,128,16,2,8,4,16,3,16,6,28176
8,128,16,4,1,4,64,2,32,2,22746
8,128,16,4,8,4,32,2,16,10,23596
8,128,32,4,1,8,64,2,16,10,23449
8,128,32,8,4,2,16,3,16,6,28175
8,128,64,2,8,2,64,3,32,2,22416
8,128,128,1,4,1,16,2,16,6,28175
8,128,128,2,8,1,16,2,32,10,28201
8,128,128,8,2,8,16,3,16,6,28175
8,128,128,8,8,1,64,2,32,2,22107
8,128,128,8,8,4,32,2,64,2,22279
8,128,256,1,2,4,32,1,32,10,23002
8,128,256,1,2,8,64,2,32,10,22752
8,128,256,8,1,4,64,3,32,2,22872
8,128,256,8,1,8,16,2,64,2,31890
8,128,256,8,8,4,64,2,16,6,22770
8,256,8,2,2,4,64,3,64,2,21744
8,256,8,4,1,4,32,2,64,6,22627
8,256,8,8,2,4,64,1,64,2,21658
8,256,16,1,4,1,64,3,16,2,23797
8,256,16,1,8,1,16,2,16,2,28176
8,256,32,1,8,8,16,1,64,6,28113
8,256,32,4,2,1,32,2,32,2,22776
8,256,32,4,4,8,16,2,16,10,28175
8,256,32,4,4,8,64,3,16,2,22852
8,256,32,8,8,4,64,2,64,6,21594
8,256,64,2,4,1,16,1,32,6,28201
8,256,64,8,1,8,32,2,32,6,25370
8,256,128,1,1,4,16,3,64,2,31890
8,256,128,2,8,2,64,2,64,10,21804
8,256,128,2,8,4,16,1,16,10,28175
8,256,128,4,1,8,64,3,64,2,21886
8,256,128,8,1,4,16,2,16,2,29252
8,256,256,2,1,2,16,2,32,10,29328
16,8,8,2,4,8,16,3,32,10,25523
16,8,8,8,2,8,16,3,64,2,25566
16,8,8,8,4,4,32,2,32,10,21010
16,8,16,1,2,4,64,3,32,6,20355
16,8,16,1,8,1,16,3,32,2,25523
16,8,16,2,4,4,32,1,32,6,21010
16,8,16,8,2,1,64,1,64,6,19544
16,8,32,1,1,4,32,1,16,2,21847
16,8,32,4,4,1,16,3,16,2,25637
16,8,32,8,1,4,32,1,32,10,21127
16,8,64,2,8,1,32,3,64,10,20427
16,8,64,4,2,2,64,1,16,6,20514
16,8,64,8,2,1,16,2,32,2,25523
16,8,128,4,1,1,64,1,64,2,19611
16,8,256,1,4,2,32,2,32,6,21631
16,8,256,4,4,1,16,3,64,10,25552
16,16,8,8,4,4,16,1,16,2,25626
16,16,16,2,2,4,64,2,64,6,19686
16,16,16,8,1,8,32,1,64,6,20465
16,16,32,2,2,1,32,2,16,6,21238
16,16,32,2,8,2,16,2,32,2,25523
16,16,32,8,2,8,16,1,16,6,25626
16,16,64,2,1,8,32,3,64,6,20465
16,16,128,2,4,2,16,1,64,10,25566
16,16,128,8,4,1,32,1,64,6,20448
16,16,256,1,4,2,16,1,64,2,25566
16,32,8,2,4,4,32,1,16,10,21389
16,32,16,8,8,2,64,2,64,2,19608
16,32,32,1,4,2,32,1,64,6,20979
16,32,32,2,2,8,16,1,32,2,25525
16,32,32,2,4,4,16,1,16,10,25626
16,32,32,8,1,8,16,1,32,6,26523
16,32,64,1,2,1,64,1,64,10,20155
16,32,64,4,1,4,32,3,32,2,21127
16,32,64,4,4,8,64,2,32,6,20148
16,32,64,8,2,8,32,2,32,2,21128
16,32,128,2,2,1,16,2,32,10,25523
16,32,128,4,4,1,16,1,64,2,25552
16,32,256,4,2,8,32,3,64,6,20565
16,32,256,8,1,2,32,3,64,2,20465
16,32,256,8,1,4,32,1,32,2,21127
16,32,256,8,4,8,64,1,16,6,20443
16,32,256,8,8,1,32,1,16,2,21266
16,64,8,2,1,1,16,3,64,6,26571
16,64,8,2,2,2,64,3,32,10,20242
16,64,8,4,1,1,32,3,32,2,21127
16,64,8,8,1,2,32,1,32,2,21224
16,64,8,8,2,4,32,2,16,10,21238
16,64,16,8,4,2,32,1,64,2,20427
16,64,32,1,1,8,64,2,64,6,20335
16,64,64,2,4,1,64,1,16,2,20542
16,64,64,8,1,1,64,1,32,6,20264
16,64,64,8,1,1,64,1,64,6,19611
16,64,64,8,4,2,64,1,64,6,19553
16,64,128,1,2,8,64,2,64,2,20051
16,64,128,2,8,4,64,1,16,10,20617
16,64,128,4,2,2,16,1,32,6,25525
16,64,256,1,8,1,32,1,64,2,20979
16,64,256,2,1,1,16,3,64,2,26571
16,128,16,1,8,2,16,3,16,2,25626
16,128,32,1,1,1,32,2,64,6,21233
16,128,32,1,1,1,64,1,64,2,20335
16,128,32,1,2,2,16,2,32,10,25525
16,128,32,1,2,8,16,1,64,10,25566
16,128,32,2,2,8,16,2,16,10,25637
16,128,64,4,2,8,16,2,32,6,25523
16,128,64,4,4,4,16,1,32,10,25525
16,128,64,8,1,1,64,2,16,10,20664
16,128,128,1,8,2,32,3,64,2,21003
16,128,128,4,2,1,16,2,16,6,25626
16,128,256,2,1,1,32,2,64,6,20539
16,128,256,4,4,4,32,2,64,6,20427
16,256,8,1,8,4,64,1,32,6,20500
16,256,8,4,1,4,64,3,32,2,20137
16,256,8,8,1,2,64,3,64,10,19611
16,256,16,1,1,2,64,1,64,6,20246
16,256,64,4,8,8,16,3,16,6,25637
16,256,128,2,8,2,32,2,16,6,21266
16,256,128,8,2,1,64,1,32,2,20022
16,256,256,2,8,1,64,3,64,2,19595
16,256,256,8,8,2,32,2,32,6,20921
